-0.096,0.020,0.984,
-0.089,0.011,0.972,
-0.096,0.019,0.979,
-0.104,0.022,1.005,
-0.107,0.024,0.994,
-0.089,0.032,0.979,
-0.080,-0.002,0.954,
-0.095,0.011,0.997,
-0.093,0.016,0.990,
-0.096,0.001,0.981,
-0.091,0.020,0.977,
-0.087,0.008,0.987,
-0.104,0.016,0.983,
-0.101,0.007,0.984,
-0.102,0.010,0.992,
-0.086,-0.005,0.979,
-0.081,0.016,0.968,
0.129,-0.054,0.978,
-0.190,0.026,1.021,
-0.093,0.009,0.996,
-0.155,-0.002,0.930,
-0.079,0.072,1.031,
-0.009,0.167,0.951,
0.094,0.015,0.889,
0.000,0.342,1.069,
-0.154,0.578,0.409,
1.223,-0.658,1.883,
-0.395,0.243,1.968,
-0.326,0.394,1.999,
0.202,1.298,1.104,
-0.216,0.557,-0.004,
-1.133,-0.669,0.355,
-0.660,-0.219,1.721,
-0.653,0.104,1.346,
-0.447,-0.261,0.849,
-0.328,-0.213,0.600,
-0.397,-0.136,0.611,
-0.055,-0.269,-1.961,
-0.074,-0.167,-1.006,
-0.186,0.064,-0.701,
-0.212,0.069,-0.524,
-0.146,0.128,-0.327,
-0.107,0.107,0.016,
-0.045,-0.105,0.741,
-0.062,-0.053,1.406,
-0.081,-0.002,1.999,
-0.187,-0.001,1.999,
-0.068,-0.114,1.999,
0.082,0.120,1.999,
0.085,0.784,1.999,
0.177,0.043,1.999,
0.243,-0.073,1.999,
0.114,-0.063,1.999,
0.047,-0.285,1.927,
-0.043,-0.309,1.565,
-0.059,-0.354,0.938,
-0.057,-0.282,0.289,
-0.127,-0.386,-0.045,
-0.102,-0.212,-0.281,
-0.099,-0.098,-0.478,
-0.080,-0.008,-0.584,
-0.105,0.098,-0.678,
-0.147,0.082,-0.603,
-0.137,0.045,-0.601,
-0.078,0.105,-0.594,
0.001,-0.064,-0.258,
0.060,-0.180,0.247,
0.097,-0.283,0.700,
0.017,-0.369,1.273,
0.125,-0.431,1.999,
0.090,-0.358,1.999,
0.088,-0.235,1.999,
-0.039,-0.052,1.999,
-0.071,0.028,1.999,
-0.163,-0.040,1.999,
-0.128,-0.246,1.999,
-0.081,-0.423,1.999,
-0.055,-0.647,1.684,
-0.021,-0.390,0.685,
-0.075,-0.384,0.176,
-0.113,-0.278,-0.107,
-0.037,-0.177,-0.460,
-0.028,-0.041,-0.656,
-0.021,0.053,-0.683,
0.000,0.051,-0.662,
-0.050,0.036,-0.685,
-0.028,0.004,-0.570,
-0.026,-0.082,-0.433,
-0.018,-0.063,-0.308,
-0.052,-0.167,0.048,
-0.046,-0.256,0.531,
-0.172,-0.407,1.098,
-0.053,-0.260,1.948,
-0.098,-0.303,1.999,
-0.166,-0.258,1.999,
-0.038,-0.120,1.999,
0.136,0.253,1.999,
0.215,0.125,1.999,
0.341,0.123,1.999,
0.355,-0.090,1.999,
0.319,-0.288,1.999,
0.215,-0.362,1.708,
0.127,-0.851,1.205,
0.146,0.000,0.434,
0.103,-0.423,0.224,
-0.132,-0.302,0.184,
-0.123,-0.234,-0.146,
-0.076,-0.077,-0.492,
-0.060,0.018,-0.652,
-0.072,0.053,-0.728,
-0.074,0.078,-0.692,
-0.066,0.105,-0.713,
-0.060,0.035,-0.635,
-0.037,-0.048,-0.501,
-0.159,-0.315,-0.221,
-0.053,-0.366,0.244,
0.041,-0.505,0.702,
0.053,-0.434,1.685,
0.079,-0.466,1.999,
0.018,-0.188,1.999,
0.100,-0.033,1.999,
0.253,0.146,1.999,
0.355,0.090,1.999,
0.315,-0.179,1.999,
0.269,-0.350,1.999,
0.193,-0.494,1.999,
0.113,-0.372,1.671,
-0.084,0.573,1.239,
-0.284,0.113,0.947,
-0.294,-0.522,1.191,
-0.469,-0.810,0.791,
-0.580,-0.482,-0.041,
-0.641,-0.131,-0.729,
-0.614,0.151,-0.990,
-0.434,0.047,-1.129,
-0.240,-0.006,-1.160,
-0.118,-0.091,-1.212,
0.100,0.170,-0.837,
0.171,0.357,-0.392,
0.068,0.086,0.133,
0.166,0.041,0.412,
0.144,0.323,0.456,
0.129,0.359,0.365,
0.238,0.091,0.492,
0.200,-0.360,0.907,
-0.081,-0.311,1.386,
0.057,-0.079,1.459,
-0.142,-0.349,1.749,
-0.347,-0.529,1.999,
-2.000,-0.001,1.999,
-0.220,-1.164,1.390,
0.201,0.133,0.996,
0.451,0.295,0.358,
0.619,0.063,0.077,
0.518,-0.143,0.038,
0.303,-0.169,-0.062,
0.137,-0.070,0.057,
0.522,-0.187,-1.580,
-0.246,0.140,0.813,
0.285,0.043,0.521,
0.006,-0.025,0.449,
-0.457,0.009,1.115,
-0.198,-0.041,1.257,
-0.334,0.039,1.174,
-0.059,0.027,0.842,
-0.103,0.099,0.890,
-0.071,-0.051,1.053,
-0.007,0.024,0.706,
-0.039,-0.001,0.953,
-0.066,0.011,1.006,
-0.084,0.019,1.036,
-0.058,0.019,0.997,
-0.057,0.036,0.974,
-0.046,0.029,0.978,
-0.054,0.030,0.991,
-0.067,0.023,1.034,
-0.039,0.087,0.969,
-0.033,0.164,0.902,
-0.032,-0.023,1.089,
-0.062,-0.080,0.986,
-0.049,-0.047,0.989,
-0.047,0.033,0.960,
-0.056,0.045,1.025,
-0.048,0.011,0.989,
-0.049,0.019,0.994,
-0.056,0.026,0.995,
-0.053,0.024,1.000,
-0.051,0.025,0.990,
-0.049,0.023,0.992,
-0.053,0.025,0.992,
-0.051,0.030,0.993,
-0.049,0.030,0.989,
-0.044,0.025,0.999,
-0.047,0.024,0.986,
-0.060,0.024,0.993,
-0.052,0.027,0.992,
-0.049,0.028,0.995,
-0.047,0.028,0.993,
-0.048,0.024,0.985,
-0.053,0.026,0.996,
-0.052,0.021,0.988,
-0.045,0.025,0.995,
-0.045,0.027,0.984,
-0.052,0.022,0.996,
-0.046,0.011,0.985,
-0.047,0.025,1.014,
-0.090,0.017,0.985,
-0.055,0.030,0.996,
-0.050,0.025,0.997,
-0.041,0.016,1.018,
-0.041,0.029,0.981,
-0.064,0.020,0.992,
-0.051,0.010,0.989,
-0.042,0.037,0.994,